main_position,player_id,player_name,team,team_id,minutes_played,goal_assists_per90,key_passes_per90,progressive_passes_per90,duels_won_per90,duel_success_rate,pass_completion_rate,shots_total_per90,xg_total_per90,dribbles_completed_per90,goals_scored_per90,dribble_success_rate,progressive_carries_per90,fouls_won_per90,chances_created_per90,rating
Center Attacking Midfield,3497,Vicente Iborra De La Fuente,Sevilla,213,1949,17.307692307692307,2.7118644067796613,14.504283965728277,26.51162790697675,62.23307998552299,32.9218106995885,30.824372759856626,80.00000000000001,5.846153846153846,52.459016393442624,68.53846153846153,15.361445783132533,13.28125,4.3604651162790695,26.541426231602625
Center Attacking Midfield,4711,Pablo Hernández Domínguez,Rayo Vallecano,360,2232,23.076923076923077,21.016949152542374,48.28641370869033,27.441860465116285,42.85197249366631,58.885147774036675,28.673835125448026,17.142857142857142,27.076923076923077,19.672131147540984,52.98461538461539,47.665662650602414,6.8359375,20.63953488372093,27.011345447845358
Center Attacking Midfield,5504,Éver Maximiliano David Banega,Sevilla,213,1864,17.307692307692307,47.79661016949153,100.0,57.209302325581405,56.76800579080709,65.99326599326602,45.51971326164875,34.285714285714285,100.0,39.34426229508197,90.76923076923077,93.59939759036145,47.4609375,43.02325581395349,50.43022912527407
Center Attacking Midfield,5719,Marco Asensio Willemsen,Espanyol,214,3073,50.0,42.03389830508474,26.25458996328029,32.09302325581396,52.55157437567861,47.84885895997007,39.78494623655913,40.00000000000001,52.307692307692314,18.0327868852459,68.4,74.17168674698796,28.515625,43.02325581395349,38.46999522946015
Center Attacking Midfield,6391,Raúl García Escudero,Athletic Club,215,2509,40.38461538461538,6.101694915254237,41.79926560587515,76.74418604651164,77.83206659428159,11.672278338945025,79.56989247311829,45.714285714285715,20.615384615384617,40.98360655737705,56.415384615384625,35.316265060240966,49.02343750000001,10.75581395348837,34.35334507198737
Center Attacking Midfield,6557,Adrián González Morales,Eibar,322,2413,0.0,7.118644067796611,34.944920440636466,24.651162790697676,58.812884545783575,45.82865693976808,40.86021505376344,40.00000000000001,11.076923076923077,29.508196721311474,48.276923076923076,21.385542168674696,0.39062500000000033,5.232558139534883,19.641932537894014
Center Attacking Midfield,6673,Sergio Canales Madrazo,Real Sociedad,210,1020,0.0,15.593220338983048,30.78335373317013,39.06976744186047,73.0184581976113,63.89824167601949,53.76344086021505,14.285714285714288,0.0,0.0,0.0,49.096385542168676,17.3828125,12.5,12.732345839414457
Center Attacking Midfield,6680,Rubén Rochina Naixes,Granada,1049,2705,36.53846153846153,29.491525423728817,73.3170134638923,45.58139534883721,57.43756786102063,28.245417134306045,70.96774193548387,22.857142857142858,70.15384615384615,31.147540983606557,86.70769230769231,56.09939759036144,50.390625,30.232558139534888,44.07642266854161
Center Attacking Midfield,6697,Daniel Ceballos Fernández,Real Betis,218,2054,15.384615384615385,16.94915254237288,63.34149326805385,73.48837209302326,64.78465436120159,77.70295548073328,4.659498207885305,0.0,76.92307692307693,0.0,68.66153846153847,97.21385542168676,70.1171875,15.988372093023257,30.36725034866923
Center Attacking Midfield,6852,Jozabed Sánchez Ruiz,Rayo Vallecano,360,2227,15.384615384615385,22.711864406779664,32.374541003671965,29.30232558139535,79.04451682953312,84.24990647212871,43.01075268817205,51.42857142857144,25.846153846153847,59.01639344262295,77.73846153846155,37.424698795180724,14.0625,20.930232558139533,35.85144419003252
Center Attacking Midfield,6926,Alen Halilović,Sporting Gijón,1041,2235,38.46153846153847,16.94915254237288,34.14932680538556,1.3953488372093024,12.685486789721315,62.663673774784925,63.08243727598567,37.142857142857146,85.23076923076923,19.672131147540984,68.0,93.97590361445783,34.37500000000001,19.476744186046517,37.86045791798615
Center Attacking Midfield,6928,Pedro Taunausú Domínguez Placeres,Las Palmas,208,2420,21.153846153846153,22.033898305084747,16.09547123623011,43.72093023255814,100.0,87.05574261129819,19.354838709677416,20.000000000000004,36.30769230769231,29.508196721311474,67.64615384615385,64.45783132530121,32.2265625,21.511627906976745,29.230630245050975
Center Attacking Midfield,7782,Luis Alberto Romero Alconchel,RC Deportivo La Coruña,219,2328,44.230769230769226,21.016949152542374,24.663402692778455,38.6046511627907,80.94462540716613,20.127197904975695,87.45519713261648,62.85714285714287,41.53846153846153,37.704918032786885,63.676923076923075,52.86144578313253,6.8359375,23.837209302325586,36.78890183337807
Center Attacking Midfield,15893,Víctor Rodríguez Romero,Getafe,216,2418,5.769230769230769,12.203389830508476,11.3219094247246,31.627906976744192,76.43865363735071,88.17807706696597,37.99283154121864,28.571428571428577,36.30769230769231,11.475409836065575,62.69230769230769,68.1475903614458,19.335937500000004,10.46511627906977,21.82342688531555
Center Attacking Midfield,24783,Javier Márquez Moreno,Granada,1049,1497,11.538461538461538,8.135593220338984,62.17870257037944,65.58139534883722,68.71154542164315,44.74373363262253,25.448028673835125,2.8571428571428577,14.153846153846155,0.0,100.0,32.07831325301205,23.242187499999996,7.848837209302324,22.986740632615106
Center Attacking Midfield,40822,Daniel Arnaud N''Di	,Sporting Gijón,1041,927,0.0,8.474576271186441,6.181150550795592,26.04651162790698,97.14078899746652,28.694350916573175,19.713261648745515,37.142857142857146,48.3076923076923,14.754098360655737,85.2,41.1144578313253,67.57812500000001,6.395348837209303,21.61992251417526
Center Attacking Midfield,3064,David Josué Jiménez Silva,Manchester City,36,2056,82.6923076923077,59.66101694915255,71.05263157894737,36.74418604651163,61.90734708650019,86.45716423494206,23.297491039426525,25.71428571428572,39.07692307692307,13.114754098360656,80.0,88.4789156626506,21.289062499999996,63.08139534883721,51.35154371005114
Center Attacking Midfield,3094,Bamidele Alli,Tottenham Hotspur,38,2622,51.92307692307693,40.33898305084746,27.968176254589967,55.348837209302324,68.29533116178068,55.59296670407785,67.74193548387098,71.42857142857143,41.84615384615385,55.73770491803279,45.55384615384615,60.54216867469879,38.28125,41.56976744186046,45.72595730785397
