main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating,rating_normalizado,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate
Goalkeeper,3379,Alphonse Areola,Villarreal,222,2984,39.24914675767918,77.82696177062377,85.1063829787234,43.00518134715027,50.0,56.90607734806631,39.48876156897312,99.60320672801207,63.66801155516919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,4691,Claudio Andrés Bravo Muñoz,Barcelona,217,2957,39.931740614334466,92.87726358148895,96.80851063829789,13.471502590673579,0.0,6.0773480662983435,100.0,143.9759109636543,76.60762800831942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,5577,Francisco Guillermo Ochoa Magaña,Málaga,223,928,49.829351535836174,67.84708249496984,96.80851063829789,29.53367875647669,0.0,4.0055248618784525,40.788893785808725,95.04983774248691,62.34019416704077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,5597,Keylor Navas Gamboa,Real Madrid,220,3152,45.39249146757679,78.67203219315896,92.55319148936171,49.22279792746115,75.0,40.46961325966852,67.45262230057295,124.48568918729286,70.92404395102012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,6378,Jan Oblak,Atlético Madrid,212,3535,26.621160409556303,100.0,96.80851063829789,20.725388601036272,0.0,31.21546961325967,29.660643455266637,95.061637749847,62.34363519169802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,6576,Gorka Iraizoz Moreno,Athletic Club,215,3440,35.836177474402724,60.12072434607646,75.53191489361703,79.79274611398964,20.0,54.69613259668509,50.79330101366239,100.36800320535107,63.89103544456149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,6610,Iván Cuéllar Sacristán,Sporting Gijón,1041,2972,70.64846416382251,51.06639839034205,40.425531914893625,59.067357512953365,16.67,62.43093922651934,10.885852798589681,54.91712080876769,50.6370092183072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,6625,Vicente Guaita Panadero,Getafe,216,3534,61.4334470989761,31.22736418511069,41.48936170212767,48.70466321243524,20.0,70.85635359116024,31.313353900396653,65.2708288274513,53.65627552036094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,6654,Antonio Adán Garrido,Real Betis,218,3357,68.25938566552901,57.70623742454731,58.51063829787234,33.678756476683944,0.0,52.348066298342545,10.577346848832079,60.10675805985686,52.150370117013374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goalkeeper,6694,Gerónimo Rulli,Real Sociedad,210,3343,51.19453924914675,56.820925553319945,64.89361702127661,46.11398963730571,25.0,47.50000000000001,53.30542089026002,95.06222395655149,62.34380613665279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
