player_id,player,ultimo_equipo,ultimo_team_id,competicion
8223,Franck Bilal Ribéry,Bayern Munich,169,Germany - 1. Bundesliga
8225,Roman Bürki,Borussia Dortmund,180,Germany - 1. Bundesliga
8227,Mario Götze,Bayern Munich,169,Germany - 1. Bundesliga
8230,Josuha Guilavogui,Wolfsburg,179,Germany - 1. Bundesliga
8231,Yannick Gerhardt,FC Köln,186,Germany - 1. Bundesliga
8232,Nuri Şahin,Borussia Dortmund,180,Germany - 1. Bundesliga
8233,Gonzalo Castro Randon,Borussia Dortmund,180,Germany - 1. Bundesliga
8235,Maximilian Arnold,Wolfsburg,179,Germany - 1. Bundesliga
8237,Paul Verhaegh,Augsburg,172,Germany - 1. Bundesliga
8238,Mahmoud Dahoud,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8239,Robin Knoche,Wolfsburg,179,Germany - 1. Bundesliga
8240,Koen Casteels,Wolfsburg,179,Germany - 1. Bundesliga
8243,Daniel Didavi,VfB Stuttgart,174,Germany - 1. Bundesliga
8244,Sokratis Papastathopoulos,Borussia Dortmund,180,Germany - 1. Bundesliga
8270,Daniel Schwaab,VfB Stuttgart,174,Germany - 1. Bundesliga
8302,Nicolai Müller,Hamburger SV,171,Germany - 1. Bundesliga
8303,Caiuby Francisco da Silva,Augsburg,172,Germany - 1. Bundesliga
8306,Christian Mathenia,Darmstadt 98,872,Germany - 1. Bundesliga
8309,Michael Gregoritsch,Hamburger SV,171,Germany - 1. Bundesliga
8311,Jonathan Schmid,Hoffenheim,175,Germany - 1. Bundesliga
8313,Kyriakos Papadopoulos,Bayer Leverkusen,904,Germany - 1. Bundesliga
8314,Marwin Hitz,Augsburg,172,Germany - 1. Bundesliga
8316,Dennis Diekmeier,Hamburger SV,171,Germany - 1. Bundesliga
8317,Daniel Baier,Augsburg,172,Germany - 1. Bundesliga
8320,Gian-Luca Waldschmidt,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8321,Sven Schipplock,Hamburger SV,171,Germany - 1. Bundesliga
8322,André Hahn,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8323,Gideon Jung,Hamburger SV,171,Germany - 1. Bundesliga
8369,Melvyn Lorenzen,Werder Bremen,176,Germany - 1. Bundesliga
8386,Max Kruse,Wolfsburg,179,Germany - 1. Bundesliga
8387,Mark Uth,Hoffenheim,175,Germany - 1. Bundesliga
8388,Jérôme Gondorf,Darmstadt 98,872,Germany - 1. Bundesliga
8389,Fin Bartels,Werder Bremen,176,Germany - 1. Bundesliga
8390,Philipp Bargfrede,Werder Bremen,176,Germany - 1. Bundesliga
8392,Jeremy Toljan,Hoffenheim,175,Germany - 1. Bundesliga
8393,Oliver Baumann,Hoffenheim,175,Germany - 1. Bundesliga
8394,Robert Bauer,Ingolstadt,189,Germany - 1. Bundesliga
8395,Håvard Nordtveit,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8396,Theodor Gebre Selassie,Werder Bremen,176,Germany - 1. Bundesliga
8397,Kevin Vogt,FC Köln,186,Germany - 1. Bundesliga
8401,Maximilian Eggestein,Werder Bremen,176,Germany - 1. Bundesliga
8402,Aron Jóhannsson,Werder Bremen,176,Germany - 1. Bundesliga
8403,Nadiem Amiri,Hoffenheim,175,Germany - 1. Bundesliga
8404,Eugen Polanski,Hoffenheim,175,Germany - 1. Bundesliga
8405,Benjamin Hübner,Ingolstadt,189,Germany - 1. Bundesliga
8504,Bastian Oczipka,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8508,Max Meyer,Schalke 04,181,Germany - 1. Bundesliga
8511,Thilo Kehrer,Schalke 04,181,Germany - 1. Bundesliga
8512,Franco Matías Di Santo,Schalke 04,181,Germany - 1. Bundesliga
8514,Matija Nastasić,Schalke 04,181,Germany - 1. Bundesliga
8516,Ronaldo Aparecido Rodrigues,Wolfsburg,179,Germany - 1. Bundesliga
8517,Ralf Fährmann,Schalke 04,181,Germany - 1. Bundesliga
8521,Daniel Caligiuri,Wolfsburg,179,Germany - 1. Bundesliga
8538,Waldemar Anton,Hannover 96,178,Germany - 1. Bundesliga
8539,Danny Latza,FSV Mainz 05,177,Germany - 1. Bundesliga
8541,Kenan Karaman,Hannover 96,178,Germany - 1. Bundesliga
8542,Felipe Trevizan Martins,Hannover 96,178,Germany - 1. Bundesliga
8543,Manuel Schmiedebach,Hannover 96,178,Germany - 1. Bundesliga
8545,Julian Korb,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8547,Matthias Ostrzolek,Hamburger SV,171,Germany - 1. Bundesliga
8548,Daniel Brosinski,FSV Mainz 05,177,Germany - 1. Bundesliga
8550,Alexandru Iulian Maxim,VfB Stuttgart,174,Germany - 1. Bundesliga
8551,Felix Klaus,Hannover 96,178,Germany - 1. Bundesliga
8554,Levin Mete Öztunali,Werder Bremen,176,Germany - 1. Bundesliga
8555,Pablo Ezequiel De Blasis,FSV Mainz 05,177,Germany - 1. Bundesliga
8556,Pirmin Schwegler,Hoffenheim,175,Germany - 1. Bundesliga
8557,Martin Harnik,VfB Stuttgart,174,Germany - 1. Bundesliga
8558,Charlison Benschop,Hannover 96,178,Germany - 1. Bundesliga
8559,Stefan Bell,FSV Mainz 05,177,Germany - 1. Bundesliga
8560,René Adler,Hamburger SV,171,Germany - 1. Bundesliga
8561,Fabian Frei,FSV Mainz 05,177,Germany - 1. Bundesliga
8570,Niklas Stark,Hertha Berlin,173,Germany - 1. Bundesliga
8573,Ömer Toprak,Bayer Leverkusen,904,Germany - 1. Bundesliga
8574,Alexander Esswein,Augsburg,172,Germany - 1. Bundesliga
8575,Salomon Armand Magloire Kalou,Hertha Berlin,173,Germany - 1. Bundesliga
8576,Mitchell Weiser,Hertha Berlin,173,Germany - 1. Bundesliga
8577,Rune Almenning Jarstein,Hertha Berlin,173,Germany - 1. Bundesliga
8578,Per Ciljan Skjelbred,Hertha Berlin,173,Germany - 1. Bundesliga
8579,Vladimír Darida,Hertha Berlin,173,Germany - 1. Bundesliga
8580,Sebastian Langkamp,Hertha Berlin,173,Germany - 1. Bundesliga
8582,Fabian Reese,Schalke 04,181,Germany - 1. Bundesliga
8667,Lukáš Hrádecký,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8669,Mijat Gaćinović,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8670,Timothy Chandler,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8671,Branimir Hrgota,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8676,Danny Vieira da Costa,Ingolstadt,189,Germany - 1. Bundesliga
8678,David Ángel Abraham,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8679,Yunus Mallı,FSV Mainz 05,177,Germany - 1. Bundesliga
8762,Zlatko Junuzović,Werder Bremen,176,Germany - 1. Bundesliga
8805,Christoph Kramer,Bayer Leverkusen,904,Germany - 1. Bundesliga
8806,Lars Edi Stindl,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8807,Raúl Marcelo Bobadilla,Augsburg,172,Germany - 1. Bundesliga
8808,Matthias Ginter,Borussia Dortmund,180,Germany - 1. Bundesliga
8809,Oscar Wendt,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8810,Raffael Caetano de Araújo,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8812,Marco Russ,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8813,Patrick Herrmann,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8814,Nico Elvedi,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
8815,Jannik Vestergaard,Werder Bremen,176,Germany - 1. Bundesliga
8816,Julian Weigl,Borussia Dortmund,180,Germany - 1. Bundesliga
8817,Jhon Andrés Córdoba Copete,FSV Mainz 05,177,Germany - 1. Bundesliga
8821,Timo Horn,FC Köln,186,Germany - 1. Bundesliga
8822,Simon Zoller,FC Köln,186,Germany - 1. Bundesliga
8823,Marcel Risse,FC Köln,186,Germany - 1. Bundesliga
8824,Marco Höger,Schalke 04,181,Germany - 1. Bundesliga
8825,Miloš Jojić,FC Köln,186,Germany - 1. Bundesliga
8826,Leonardo Bittencourt,FC Köln,186,Germany - 1. Bundesliga
8827,Matthias Lehmann,FC Köln,186,Germany - 1. Bundesliga
8828,Dominique Heintz,FC Köln,186,Germany - 1. Bundesliga
8829,Frederik Hillesborg Sørensen,FC Köln,186,Germany - 1. Bundesliga
8831,Lukas Klünter,FC Köln,186,Germany - 1. Bundesliga
8883,Johannes van den Bergh,Hertha Berlin,173,Germany - 1. Bundesliga
8890,Christoph Moritz,FSV Mainz 05,177,Germany - 1. Bundesliga
8891,Lewis Harry Holtby,Hamburger SV,171,Germany - 1. Bundesliga
8893,David Kinsombi,Eintracht Frankfurt,184,Germany - 1. Bundesliga
8895,Pierre-Michel Lasogga,Hamburger SV,171,Germany - 1. Bundesliga
8900,Mërgim Mavraj,FC Köln,186,Germany - 1. Bundesliga
8918,Roberto Hilbert,Bayer Leverkusen,904,Germany - 1. Bundesliga
