player,avg_rating,team,pos,pos_role
Presnel Kimpembe,5.895,France,DF,DC
Radamel Falcao,5.859375,Colombia,FW,FW
Rafael Marquez,5.80875,Mexico,"MF, Sub","MC, Sub"
Rafal Kurzawa,6.2775,Poland,MF,AML
Ragnar Sigurdsson,5.723333333333334,Iceland,DF,DC
Raheem Sterling,5.904583333333334,England,FW,FW
Ramadan Sobhi,6.0120000000000005,Egypt,Sub,Sub
Rami Bedoui,5.6775,Tunisia,DF,DC
Ramin Rezaeian,6.043636363636364,Iran,DF,DR
Randall Azofeifa,6.09,Costa Rica,Sub,Sub
Raphael Guerreiro,6.09125,Portugal,DF,DL
Raphael Varane,5.941071428571428,France,DF,DC
Raul Jimenez,5.706,Mexico,Sub,Sub
Raul Ruidiaz,6.05,Peru,Sub,Sub
Renato Augusto,6.51,Brazil,Sub,Sub
Renato Tapia,5.72875,Peru,MF,DMC
Ricardo Avila,5.796666666666667,Panama,"MF, Sub","MC, Sub"
Ricardo Pereira,5.6850000000000005,Portugal,DF,DR
Ricardo Quaresma,6.19375,Portugal,"MF, Sub","MR, Sub"
Ricardo Rodriguez,5.998125,Switzerland,DF,DL
Robbie Kruse,5.670000000000001,Australia,MF,ML
Robert Lewandowski,5.6675,Poland,FW,FW
Roberto Firmino,6.12875,Brazil,Sub,Sub
Robin Olsen,5.9045000000000005,Sweden,GK,GK
Rodney Wallace,4.99,Costa Rica,Sub,Sub
Rodrigo Bentancur,5.863,Uruguay,MF,"AMC, MC"
Rodrigo Moreno,6.4125,Spain,Sub,Sub
Romain Sadss,5.718571428571429,Morocco,DF,DC
Roman Torres,5.701666666666667,Panama,DF,DC
Roman Zobnin,6.04125,Russia,MF,"DMC, MC"
Romelu Lukaku,5.9375,Belgium,FW,"FW, FWR"
Roozbeh Cheshmi,5.933333333333334,Iran,DF,DC
Ruben Loftus-Cheek,6.060714285714285,England,"MF, Sub","MC, Sub"
Rui Patricio,5.668125,Portugal,GK,GK
Rurik Gislason,5.976666666666667,Iceland,"MF, Sub","MR, Sub"
Sadio Mane,5.835,Senegal,"FW, MF","FW, ML"
Saeid Ezatolahi,5.77375,Iran,MF,DMC
Saif-Eddine Khaoui,5.8675,Tunisia,MF,MC
Salem Al Dawsari,6.2299999999999995,Saudi Arabia,MF,"AML, ML"
Salif Sane,5.7475,Senegal,DF,DC
Salman Al-Faraj,6.235833333333333,Saudi Arabia,MF,"AMC, MC"
Sam Morsy,5.476666666666667,Egypt,Sub,Sub
Saman Ghoddos,6.5600000000000005,Iran,Sub,Sub
Sami Khedira,5.82125,Germany,MF,DMC
Samuel Umtiti,5.778333333333333,France,DF,DC
Santiago Arias,6.0425,Colombia,DF,DR
Sardar Azmoun,6.069090909090909,Iran,FW,FW
Sebastian Coates,5.8625,Uruguay,DF,DC
Sebastian Larsson,5.709375,Sweden,MF,MC
Sebastian Rudy,5.467499999999999,Germany,MF,DMC
Sergei Ignashevich,6.1375,Russia,DF,DC
Sergej Milinkovic-Savic,5.850833333333333,Serbia,MF,"AMC, DMC"
Sergio Aguero,6.005,Argentina,"FW, Sub","FW, Sub"
Sergio Busquets,6.10375,Spain,MF,"DMC, MC"
Sergio Ramos,5.861875,Spain,DF,DC
Seyed Majid Hosseini,5.56,Iran,"DF, Sub","DC, Sub"
Shinji Kagawa,5.715833333333333,Japan,MF,AMC
Shinji Okazaki,5.78875,Japan,"FW, Sub","FW, Sub"
Sime Vrsaljko,5.836,Croatia,DF,DR
Simon Kjaer,5.79,Denmark,DF,DC
Slawomir Peszko,4.98,Poland,Sub,Sub
Son Heung-Min,6.174166666666667,South Korea,FW,"FW, FWL"
Stephan Lichtsteiner,5.6525,Switzerland,DF,DR
Steve Mandanda,5.7775,France,GK,GK
Steven Nzonzi,5.868888888888889,France,"MF, Sub","DMC, Sub"
Steven Zuber,5.879166666666666,Switzerland,MF,AML
Sverrir Ingason,6.061666666666667,Iceland,"DF, Sub","DC, Sub"
Taiseer Al Jassam,5.4725,Saudi Arabia,MF,"DMC, MC"
Takashi Inui,6.076428571428571,Japan,"MF, Sub","AML, Sub"
Takashi Usami,6.156000000000001,Japan,"MF, Sub","ML, Sub"
Tarek Hamed,5.816363636363636,Egypt,MF,DMC
Thiago,6.065,Spain,"MF, Sub","MC, Sub"
Thiago Cionek,5.625,Poland,DF,DC
Thiago Silva,6.078,Brazil,DF,DC
Thibaut Courtois,5.909642857142857,Belgium,GK,GK
Thomas Delaney,5.8306249999999995,Denmark,MF,"DMC, MC"
Thomas Lemar,5.6375,France,MF,AML
Thomas Meunier,6.161,Belgium,"DF, MF","DMR, DR"
Thomas Muller,6.015,Germany,"MF, Sub","AMR, Sub"
Thomas Vermaelen,5.675,Belgium,"DF, Sub","DC, Sub"
Thorgan Hazard,6.401999999999999,Belgium,"MF, Sub","DML, Sub"
Tim Cahill,5.596666666666667,Australia,Sub,Sub
Timo Werner,5.674166666666667,Germany,FW,FW
Tin Jedvaj,5.58,Croatia,DF,DR
Toby Alderweireld,5.94875,Belgium,DF,DC
Tomas Rogic,5.976666666666667,Australia,MF,AMC
Tomi Juric,5.73375,Australia,"FW, Sub","FW, Sub"
Tomoaki Makino,6.2225,Japan,DF,DC
Toni Kroos,6.675,Germany,MF,DMC
Trent Alexander-Arnold,5.915,England,MF,MR
Trent Sainsbury,5.8875,Australia,DF,DC
Trezeguet,5.873636363636364,Egypt,MF,AML
Tyronne Ebuehi,5.45,Nigeria,Sub,Sub
Vahid Amiri,5.707272727272727,Iran,MF,MC
Valon Behrami,5.815625,Switzerland,MF,DMC
Vedran Corluka,6.086666666666666,Croatia,"DF, Sub","DC, Sub"
Victor Lindelof,5.718125,Sweden,DF,DC
Victor Moses,5.8741666666666665,Nigeria,MF,"AML, DMR"
Viktor Claesson,6.081,Sweden,MF,MR
Viktor Fischer,5.326666666666667,Denmark,Sub,Sub
Vincent Kompany,5.9688888888888885,Belgium,"DF, Sub","DC, Sub"
Vladimir Stojkovic,5.718333333333334,Serbia,GK,GK
Wahbi Khazri,6.321666666666666,Tunisia,FW,FW
Wilder Cartagena,6.09,Peru,Sub,Sub
Wilfred Ndidi,6.2,Nigeria,MF,"DMC, MC"
William Carvalho,6.060625,Portugal,MF,MC
William Kvist,5.4175,Denmark,MF,DMC
William Troost-Ekong,5.738333333333333,Nigeria,DF,DC
Willian,5.992,Brazil,FW,FWR
Willy Caballero,5.31,Argentina,GK,GK
Wilmar Barrios,5.881818181818182,Colombia,"MF, Sub","DMC, MC, Sub"
Wojciech Szczesny,4.97,Poland,GK,GK
Xherdan Shaqiri,6.099375,Switzerland,MF,AMR
Yahya Alshehri,5.264,Saudi Arabia,"MF, Sub","MR, Sub"
Yann Sommer,5.563125,Switzerland,GK,GK
Yannick Carrasco,5.761428571428572,Belgium,"MF, Sub","DML, Sub"
Yaseer Al-Shahrani,5.888333333333333,Saudi Arabia,DF,DL
Yasser Al-Mosailem,5.922499999999999,Saudi Arabia,GK,GK
Yassine Meriah,5.650833333333334,Tunisia,DF,DC
Yeltsin Tejeda,5.68,Costa Rica,Sub,Sub
Yerry Mina,6.5125,Colombia,DF,DC
Yoel Barcenas,6.020833333333333,Panama,MF,"ML, MR"
Yohan Benalouane,6.196666666666666,Tunisia,Sub,Sub
Yoshimar Yotun,5.761666666666667,Peru,MF,DMC
Yoshinori Muto,5.9375,Japan,FW,FW
Youncs Belhanda,5.655454545454545,Morocco,MF,"AMC, MC"
Youri Tielemans,6.239090909090908,Belgium,"MF, Sub","MC, Sub"
Youssef En-Nesyri,7.09,Morocco,Sub,Sub
Youssouf Sabaly,5.734166666666667,Senegal,DF,DL
Yun Young-Sun,6.355,South Korea,DF,DC
Yuri Gazinskiy,5.9325,Russia,MF,DMC
Yuri Zhirkov,5.98,Russia,"DF, MF","DL, DML"
Yussuf Poulsen,6.052499999999999,Denmark,MF,"AMR, MR"
Yuto Nagatomo,5.824375,Japan,DF,DL
Yuya Osako,5.926,Japan,"FW, Sub","FW, Sub"
Zanka,5.71875,Denmark,DF,DC
