player,avg_rating,team,pos,pos_role
Carlos Vela,6.07625,Mexico,"FW, MF","AMC, FWL"
Casemiro,6.171875,Brazil,MF,MC
Cedric Soares,5.949166666666667,Portugal,DF,DR
Celso Borges,6.068333333333334,Costa Rica,MF,MC
Cheikh N'Doye,6.220000000000001,Senegal,Sub,Sub
Cheikhou Kouyate,5.805,Senegal,"MF, Sub","MC, Sub"
Chicharito,6.146875,Mexico,FW,FW
Cho Hyun-Woo,6.109166666666667,South Korea,GK,GK
Christian Bolanos,5.512,Costa Rica,Sub,Sub
Christian Cueva,5.795000000000001,Peru,MF,AMC
Christian Eriksen,6.095625,Denmark,MF,"AMC, MC"
Christian Ramos,5.860833333333333,Peru,DF,DC
Corentin Tolisso,5.8707142857142856,France,"MF, Sub","AML, MC, Sub"
Corona,6.103333333333334,Mexico,Sub,Sub
Cristhian Stuani,5.771666666666667,Uruguay,"FW, Sub","FW, Sub"
Cristian Gamboa,6.139166666666667,Costa Rica,MF,DMR
Cristian Pavon,5.847272727272727,Argentina,"FW, Sub","FWR, Sub"
Cristian Rodriguez,5.770714285714286,Uruguay,"MF, Sub","ML, Sub"
Cristian Zapata,6.0,Colombia,Sub,Sub
Cristiano Ronaldo,6.519375,Portugal,FW,FW
Daler Kuzyaev,5.786666666666666,Russia,"MF, Sub","MC, Sub"
Daniel Arzani,5.861428571428571,Australia,Sub,Sub
Daniel Carvajal,5.798181818181818,Spain,"DF, Sub","DR, Sub"
Daniel Colindres,5.6775,Costa Rica,MF,AMC
Danijel Subasic,5.75,Croatia,GK,GK
Danilo,5.595,Brazil,DF,DR
Danny Rose,5.899285714285715,England,"MF, Sub","ML, Sub"
Danny Welbeck,6.07,England,Sub,Sub
David Guzman,5.730833333333333,Costa Rica,MF,MC
David Ospina,5.63875,Colombia,GK,GK
David Silva,5.824166666666667,Spain,"FW, MF","AMC, FWR, MC"
David de Gea,5.189375,Spain,GK,GK
Davinson Sanchez,5.778125,Colombia,DF,DC
Dawid Kownacki,5.555,Poland,"FW, Sub","FWL, Sub"
Dedryck Boyata,5.6933333333333325,Belgium,DF,DC
Dejan Lovren,5.816666666666667,Croatia,"DF, Sub","DC, Sub"
Dele Alli,5.870588235294117,England,"MF, Sub","MC, Sub"
Denis Cheryshev,5.982857142857143,Russia,"MF, Sub","AML, Sub"
Denis Zakaria,5.605,Switzerland,Sub,Sub
Diafra Sakho,5.94,Senegal,Sub,Sub
Diego Costa,5.980625,Spain,FW,FW
Diego Godin,6.181,Uruguay,DF,DC
Diego Laxalt,5.521333333333333,Uruguay,"DF, Sub","DL, Sub"
Djibril Sidibe,5.83,France,DF,DR
Domagoj Vida,5.9045000000000005,Croatia,DF,DC
Douglas Costa,5.792,Brazil,Sub,Sub
Dries Mertens,6.039,Belgium,"MF, Sub","AMC, Sub"
Duje Caleta-Car,5.7875,Croatia,DF,DC
Dusan Tadic,6.054166666666667,Serbia,MF,AMR
Dusko Tosic,5.6825,Serbia,DF,DC
Dylan Bronn,6.467142857142856,Tunisia,DF,DR
Eden Hazard,6.751,Belgium,"FW, MF","AMC, AML, FWL"
Edinson Cavani,6.44875,Uruguay,FW,FW
Edison Flores,5.801666666666667,Peru,MF,AML
Edson Alvarez,5.5553333333333335,Mexico,"DF, Sub","DR, Sub"
Eduardo Salvio,6.01125,Argentina,"DF, MF","DMR, DR"
Ehsan Haji Safi,6.081818181818182,Iran,DF,DL
Eiji Kawashima,5.76625,Japan,GK,GK
Ellyes Skhiri,5.656666666666666,Tunisia,MF,"DMC, MC"
Emil Forsberg,6.0275,Sweden,MF,ML
Emil Hallfredsson,5.83375,Iceland,MF,"DMC, MC"
