,competition,date,match,team,pos,pos_role,player,match_id,original_rating
0,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DC,Ilya Kutepov,7525,6.455
4,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DC,Sergei Ignashevich,7525,6.615
8,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DL,Yuri Zhirkov,7525,6.4925
11,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DR,Mário Figueira Fernandes,7525,6.42
15,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,FW,FW,Fyodor Smolov,7525,5.8175
19,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,GK,GK,Igor Akinfeev,7525,5.85
23,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,AMC,Alan Dzagoev,7525,6.38
24,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,AML,Aleksandr Golovin,7525,7.125
27,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,AMR,Aleksandr Samedov,7525,6.2475000000000005
31,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,DMC,Roman Zobnin,7525,6.455
35,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,DMC,Yury Gazinskiy,7525,6.455
38,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,Sub,Sub,Artem Dzyuba,7525,7.220000000000001
42,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,Sub,Sub,Daler Kuzyaev,7525,6.54
46,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,Sub,Sub,Denis Cheryshev,7525,6.37
50,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DF,DC,Osama Abdulrezag Hawsawi,7525,5.13
51,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DF,DC,Osama Abdulrezag Hawsawi,7525,5.255
54,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DF,DL,Yasir Gharsan Al Shahrani,7525,5.8475
57,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DF,DR,Mohammed Al Burayk,7525,5.7325
60,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,FW,FW,Mohammed Khalil Al Owais,7525,5.585
62,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,GK,GK,Abdullah Ibrahim Al Maiouf,7525,5.0625
63,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,MF,DMC,Abdullah Ibrahim Otayf,7525,5.5825
66,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,MF,MC,Salman Mohammed Al Faraj,7525,5.98
69,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,MF,MC,Taisir Jabir Al Jassim,7525,5.33
71,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,MF,ML,Salem Mohammed Al Dawsari,7525,5.5725
74,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,MF,MR,Yehya Sulaiman Ali Al-Shehri,7525,5.04
76,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,Sub,Sub,Hattan Babhir,7525,5.88
79,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,DF,DC,Ahmed Elsayed Ali Elsayed Hegazy,7578,6.1225
82,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,DF,DC,Ali Gabr,7578,5.6375
85,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,DF,DL,Mohamed Salah,7578,5.82
88,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,DF,DR,Mohamed Salah,7578,5.9525
91,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,FW,FW,Marwan Mohsen,7578,5.74
94,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,GK,GK,Mohamed Naser Elsayed Elneny,7578,5.92
96,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,MF,AMC,Abdalla Mahmoud El Said Bekhit,7578,5.83
99,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,MF,AML,Tarek Hamed,7578,5.7825
102,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,MF,AMR,Amr Medhat Warda,7578,5.9875
105,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,MF,DMC,Mohamed Naser Elsayed Elneny,7578,5.595
108,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,MF,DMC,Tarek Hamed,7578,5.6433333333333335
111,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,Sub,Sub,Mohamed Salah,7578,5.395
114,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,Sub,Sub,Ramadan Sobhi Ramadan Ahmed,7578,5.98
117,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Egypt,Sub,Sub,Sam Morsy,7578,5.476666666666667
118,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,DF,DC,Diego Roberto Godín Leal,7578,6.8425
123,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,DF,DC,José María Giménez de Vargas,7578,7.1850000000000005
127,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,DF,DL,José Martín Cáceres Silva,7578,5.755
132,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,DF,DR,Guillermo Varela Olivera,7578,6.03
134,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,FW,FW,Edinson Roberto Cavani Gómez,7578,6.3325
138,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,FW,FW,Luis Alberto Suárez Díaz,7578,5.2775
143,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,GK,GK,Néstor Fernando Muslera Micol,7578,5.905
148,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,MF,MC,Matías Vecino Falero,7578,6.0175
153,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,MF,MC,Rodrigo Bentancur Colmán,7578,6.1475
158,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,MF,ML,Giorgian Daniel De Arrascaeta Benedetti,7578,5.705
160,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,MF,MR,Nahitan Michel Nández Acosta,7578,5.6425
165,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,Sub,Sub,Carlos Andrés Sánchez Arcosa,7578,5.746666666666667
168,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,Sub,Sub,Cristian Gabriel Rodríguez Barrotti,7578,5.243333333333333
173,World Cup 2018,2018-06-15,"Egypt - Uruguay, 0 - 1",Uruguay,Sub,Sub,Lucas Torreira Di Pascua,7578,6.16
178,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,DF,DC,Morteza Pouraliganji,7577,5.876666666666666
181,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,DF,DC,Roozbeh Cheshmi,7577,5.933333333333334
182,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,DF,DL,Ehsan Hajsafi,7577,6.3
185,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,DF,DR,Ramin Rezaeian,7577,5.493333333333333
188,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,FW,FW,Sardar Azmoun,7577,5.6000000000000005
191,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,GK,GK,Alireza Safar Beiranvand,7577,5.82
194,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,MF,DMC,Omid Ebrahimi,7577,5.803333333333334
197,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,MF,MC,Masoud Shojaei Soleimani,7577,6.45
198,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,MF,MC,Vahid Amiri,7577,5.646666666666667
201,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,MF,ML,Karim Ansarifard,7577,5.8
204,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,MF,MR,Alireza Jahanbakhsh,7577,6.113333333333333
207,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,Sub,Sub,Mehdi Taremi,7577,6.44
210,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Iran,Sub,Sub,Seyed Majid Hosseini,7577,6.44
213,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,DF,DC,Medhi Amine El Mouttaqi Benatia,7577,5.5200000000000005
215,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,DF,DC,Romain Saïss,7577,5.266666666666667
217,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,DF,DL,Achraf Hakimi Mouh,7577,5.5200000000000005
220,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,FW,FW,Ayoub El Kaabi,7577,5.573333333333333
222,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,GK,GK,Munir Mohand Mohamedi,7577,5.276666666666666
225,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,MF,AMC,Younès Belhanda,7577,5.3133333333333335
228,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,MF,AML,Amine Harit,7577,5.576666666666667
229,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,MF,AMR,Hakim Ziyech,7577,6.0
232,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,MF,DMC,Karim El Ahmadi Al Aroos,7577,5.353333333333333
235,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,MF,DMC,Mbark Boussoufa,7577,5.826666666666667
238,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,Sub,Sub,Aziz Bouhaddouz,7577,5.54
240,World Cup 2018,2018-06-15,"Morocco - Iran, 0 - 1",Morocco,Sub,Sub,Manuel Marouan da Costa Trinidade,7577,6.0
243,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,DF,DC,José Miguel da Rocha Fonte,7576,5.6625
247,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,DF,DC,Kléper Laveran Lima Ferreira,7576,5.415
251,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,DF,DL,Raphaël Adelino José Guerreiro,7576,5.9625
255,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,DF,DR,Cédric Ricardo Alves Soares,7576,5.672499999999999
258,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,FW,FW,Cristiano Ronaldo dos Santos Aveiro,7576,7.3825
262,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,FW,FW,Gonçalo Manuel Ganchinho Guedes,7576,5.8774999999999995
266,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,GK,GK,Rui Pedro dos Santos Patrício,7576,5.23
270,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,MF,MC,João Filipe Iria Santos Moutinho,7576,5.8725
273,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,MF,MC,William Silva de Carvalho,7576,5.9025
277,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,MF,ML,Bruno Miguel Borges Fernandes,7576,5.555
279,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,Sub,Sub,Gelson Dany Batalha Martins,7576,6.029999999999999
283,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Portugal,Sub,Sub,Ricardo Andrade Quaresma Bernardo,7576,6.2
286,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,DF,DC,Gerard Piqué Bernabéu,7576,5.735
290,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,DF,DC,Sergio Ramos García,7576,5.4925
294,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,DF,DL,Jordi Alba Ramos,7576,5.4775
298,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,DF,DR,Rodrigo Moreno Machado,7576,6.195
300,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,FW,FW,Diego da Silva Costa,7576,6.5175
304,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,FW,FWL,Lucas Vázquez Iglesias,7576,6.140000000000001
308,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,GK,GK,David de Gea Quintana,7576,4.8075
312,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,MF,MC,Andrés Iniesta Luján,7576,5.7025
316,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,MF,MC,Sergio Ramos García,7576,5.6274999999999995
319,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,MF,MC,Sergio Busquets i Burgos,7576,6.2375
323,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,Sub,Sub,Iago Aspas Juncal,7576,6.015000000000001
326,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,Sub,Sub,Lucas Vázquez Iglesias,7576,5.984999999999999
328,World Cup 2018,2018-06-15,"Portugal - Spain, 3 - 3",Spain,Sub,Sub,Thiago Alcântara do Nascimento,7576,6.154999999999999
330,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,DF,DC,Faustino Marcos Alberto Rojo,7531,5.8975
333,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,DF,DC,Nicolás Hernán Otamendi,7531,6.1475
337,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,DF,DL,Nicolás Alejandro Tagliafico,7531,5.9875
341,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,DF,DR,Eduardo Antonio Salvio,7531,6.2225
343,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,FW,FW,Sergio Leonel Agüero del Castillo,7531,6.195
346,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,GK,GK,Wilfredo Daniel Caballero,7531,5.67
348,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,MF,AMC,Lionel Andrés Messi Cuccittini,7531,6.4975000000000005
352,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,MF,AML,Ángel Fabián Di María Hernández,7531,6.1125
355,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,MF,AMR,Maximiliano Eduardo Meza,7531,6.2125
359,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,MF,DMC,Javier Alejandro Mascherano,7531,5.9975000000000005
363,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,MF,DMC,Lucas Rodrigo Biglia,7531,5.9325
364,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,Sub,Sub,Cristian David Pavón,7531,6.5
368,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,Sub,Sub,Éver Maximiliano David Banega,7531,5.793333333333333
371,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Argentina,Sub,Sub,Gonzalo Gerardo Higuaín,7531,6.145
374,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,DF,DC,Rúrik Gíslason,7531,6.105
376,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,DF,DC,Ragnar Sigurðsson,7531,5.88
379,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,DF,DL,Hörður Björgvin Magnússon,7531,5.6475
382,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,DF,DR,Birkir Már Sævarsson,7531,6.0675
385,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,FW,FW,Alfreð Finnbogason,7531,5.8
388,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,GK,GK,Hannes Þór Halldórsson,7531,6.565
391,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,MF,AMC,Gylfi Þór Sigurðsson,7531,6.285
394,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,MF,MC,Aron Einar Gunnarsson,7531,5.76
397,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,MF,MC,Emil Hallfreðsson,7531,5.775
399,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,MF,ML,Birkir Bjarnason,7531,5.7425
402,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,MF,MR,Johann Berg Guðmunds­son,7531,5.815
404,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,Sub,Sub,Ari Freyr Skúlason,7531,5.98
406,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,Sub,Sub,Björn Bergmann Sigurðarson,7531,6.0600000000000005
409,World Cup 2018,2018-06-16,"Argentina - Iceland, 1 - 1",Iceland,Sub,Sub,Rúrik Gíslason,7531,6.145
411,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,DF,DC,Dejan Lovren,7529,5.96
417,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,DF,DC,Domagoj Vida,7529,5.8925
422,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,DF,DL,Ivan Strinić,7529,6.115
427,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,DF,DR,Šime Vrsaljko,7529,6.1675
432,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,FW,FW,Mario Mandžukić,7529,6.0025
437,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,GK,GK,Danijel Subašić,7529,6.29
442,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,MF,AMC,Andrej Kramarić,7529,6.015000000000001
448,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,MF,AML,Ante Rebić,7529,5.9425
453,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,MF,AMR,Ivan Perišić,7529,6.0225
459,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,MF,DMC,Ivan Rakitić,7529,5.9125
465,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,MF,DMC,Luka Modrić,7529,6.285
471,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,Sub,Sub,Marcelo Brozović,7529,5.03
476,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,Sub,Sub,Marko Pjaca,7529,6.27
479,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Croatia,Sub,Sub,Mateo Kovačić,7529,6.37
483,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,DF,DC,Leon Aderemi Balogun,7529,5.7725
486,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,DF,DC,William Troost-Ekong,7529,5.1575
489,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,DF,DL,Brian Oladapo Idowu,7529,5.64
492,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,DF,DR,Abdullahi Shehu,7529,5.8475
493,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,FW,FW,Odion Jude Ighalo,7529,5.6175
496,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,GK,GK,Francis Odinaka Uzoho,7529,5.59
499,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,MF,AMC,John Michael Nchekwube Obinna,7529,5.87
502,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,MF,AML,Victor Moses,7529,5.8725
505,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,MF,AMR,Alex Iwobi,7529,5.8
508,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,MF,DMC,Oghenekaro Etebo,7529,6.047499999999999
511,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,MF,DMC,Onyinye Wilfred Ndidi,7529,5.9375
514,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,Sub,Sub,Ahmed Musa,7529,6.025
517,World Cup 2018,2018-06-16,"Croatia - Nigeria, 2 - 0",Nigeria,Sub,Sub,Kelechi Promise Iheanacho,7529,6.1
520,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,DF,DC,Mark Milligan,7530,5.8625
523,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,DF,DC,Trent Sainsbury,7530,5.66
526,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,DF,DL,Aziz Eraltay Behich,7530,5.5600000000000005
529,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,DF,DR,Josh Risdon,7530,5.4925
532,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,FW,FW,Andrew Nabbout,7530,5.8175
534,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,GK,GK,Mathew Ryan,7530,6.05
537,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,MF,AMC,Tom Rogić,7530,5.7925
540,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,MF,MC,Aaron Mooy,7530,6.04
543,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,MF,MC,Mile Jedinak,7530,6.09
546,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,MF,ML,Robbie Kruse,7530,5.96
549,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,MF,MR,Mathew Leckie,7530,5.68
552,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,Sub,Sub,Daniel Arzani,7530,6.0600000000000005
555,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,Sub,Sub,Jackson Irvine,7530,6.04
558,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",Australia,Sub,Sub,Tomi Jurić,7530,5.9350000000000005
561,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,DF,DC,Raphaël Varane,7530,5.6975
568,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,DF,DC,Samuel Yves Umtiti,7530,4.795
574,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,DF,DL,Lucas Hernández Pi,7530,5.6875
581,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,DF,DR,Benjamin Pavard,7530,5.34
587,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,FW,FW,Antoine Griezmann,7530,6.4
594,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,FW,FWL,Ousmane Dembélé,7530,5.7825
598,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,FW,FWR,Kylian Mbappé Lottin,7530,6.025
605,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,GK,GK,Hugo Lloris,7530,5.6975
611,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,MF,MC,Corentin Tolisso,7530,5.48
616,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,MF,MC,N''Golo Kanté,7530,6.33
623,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,MF,MC,Paul Pogba,7530,5.575
629,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,Sub,Sub,Blaise Matuidi,7530,6.029999999999999
634,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,Sub,Sub,Nabil Fekir,7530,6.385
640,World Cup 2018,2018-06-16,"France - Australia, 2 - 1",France,Sub,Sub,Olivier Giroud,7530,6.005
647,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,DF,DC,Andreas Christensen,7532,5.755
651,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,DF,DC,Simon Thorup Kjær,7532,5.58
655,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,DF,DL,Jens Stryger Larsen,7532,5.5125
658,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,DF,DR,Henrik Dalsgaard,7532,5.8025
662,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,FW,FW,Nicolai Jørgensen,7532,5.6225000000000005
665,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,GK,GK,Kasper Schmeichel,7532,6.6175
669,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,MF,AMC,Christian Dannemann Eriksen,7532,6.2075
673,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,MF,AML,Pione Sisto Ifolo Emirmija,7532,6.17
677,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,MF,AMR,Yussuf Yurary Poulsen,7532,6.1850000000000005
680,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,MF,DMC,Thomas Delaney,7532,5.655
684,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,MF,DMC,William Vitved Kvist Jørgensen,7532,5.4175
685,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,Sub,Sub,Lasse Schöne,7532,5.453333333333333
688,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Denmark,Sub,Sub,Martin Braithwaite Christensen,7532,6.109999999999999
692,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,DF,DC,Alberto Junior Rodríguez Valdelomar,7532,5.9925
694,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,DF,DC,Christian Guillermo Martín Ramos Garagay,7532,5.755
697,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,DF,DL,Miguel Ángel Trauco Saavedra,7532,5.9125
700,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,DF,DR,Luis Jan Piers Advíncula Castrillón,7532,6.11
703,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,FW,FW,Jefferson Agustín Farfán Guadalupe,7532,5.885
705,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,GK,GK,Pedro David Gallese Quiróz,7532,5.525
708,World Cup 2018,2018-06-16,"Peru - Denmark, 0 - 1",Peru,MF,AMC,Christian Alberto Cueva Bravo,7532,5.7225
