,avg_rating,player,score,revisar,player_id,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
397,6.15,Mohammed Kanoo,88.88888888888889,False,5713.0,Saudi Arabia,799.0,['Right Wing'],1.0
398,6.045,Mohamed Salah,100.0,False,3531.0,Egypt,774.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward']",2.0
399,5.805833333333333,Mohamed Salah,76.92307692307692,True,3531.0,Egypt,774.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward']",2.0
400,5.8075,Mohammed Khalil Al Owais,82.92682926829268,True,5714.0,Saudi Arabia,799.0,['Goalkeeper'],1.0
401,5.928333333333334,Mohammed Al Burayk,94.44444444444444,False,5191.0,Saudi Arabia,799.0,['Right Back'],3.0
402,5.701666666666667,Mohammed Khalil Al Owais,65.11627906976744,True,5714.0,Saudi Arabia,799.0,['Goalkeeper'],1.0
403,5.665,Seon-Min Moon,100.0,False,5989.0,South Korea,791.0,"['Right Wing', 'Right Midfield', 'Left Midfield']",2.0
404,5.485454545454545,Morteza Pouraliganji,100.0,False,5220.0,Iran,797.0,['Right Center Back'],3.0
405,6.2275,Motaz Ali Hassan Hawsawi,70.27027027027026,True,6290.0,Saudi Arabia,799.0,['Left Center Back'],1.0
406,5.61090909090909,Mbark Boussoufa,90.9090909090909,False,5232.0,Morocco,788.0,"['Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Midfield']",3.0
407,6.843333333333334,Mouez Hassen,100.0,False,5653.0,Tunisia,777.0,['Goalkeeper'],1.0
408,5.825,Mousa Sidi Yaya Dembélé,61.111111111111114,True,3037.0,Belgium,782.0,"['Right Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield']",4.0
409,6.0175,Pape Moussa Konaté,77.41935483870968,True,3555.0,Senegal,787.0,"['Left Center Forward', 'Center Forward', 'Left Wing']",2.0
410,5.889,Moussa Wagué,91.66666666666666,False,5674.0,Senegal,787.0,"['Right Back', 'Left Back']",3.0
411,5.159000000000001,Munir Mohand Mohamedi,80.0,True,5233.0,Morocco,788.0,['Goalkeeper'],3.0
