,main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,pass_completion_rate,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate
96,Left Defensive Midfield,6396,Beñat Etxebarria Urkiaga,Athletic Club,215,2972,76.40449438202246,89.60674157303372,47.752808988764045,93.82022471910112,16.292134831460675,96.62921348314607,55.89887640449438,27.247191011235955,45.78651685393258,85.95505617977528,69.10112359550563
109,Right Defensive Midfield,6580,José Luis García del Pozo,Málaga,223,2976,38.48314606741573,59.269662921348306,35.39325842696629,76.40449438202246,38.20224719101123,39.8876404494382,68.25842696629213,85.39325842696628,19.382022471910112,85.95505617977528,49.43820224719101
115,Right Defensive Midfield,6599,Rubén Salvador Pérez Del Mármol,Granada,1049,2802,79.21348314606742,39.325842696629216,62.35955056179775,58.98876404494382,16.853932584269664,75.28089887640449,87.35955056179775,57.865168539325836,19.382022471910112,62.92134831460674,53.93258426966292
127,Right Defensive Midfield,6622,Tomás Pina Isla,Villarreal,222,1770,66.85393258426966,38.764044943820224,20.224719101123593,21.06741573033708,35.95505617977528,15.730337078651685,57.30337078651685,87.64044943820225,19.382022471910112,56.17977528089888,47.19101123595505
133,Right Defensive Midfield,6633,Markel Bergara Larrañaga,Real Sociedad,210,1393,91.85393258426966,26.96629213483146,42.13483146067416,0.5617977528089888,41.01123595505618,14.887640449438203,81.17977528089888,86.51685393258427,64.32584269662921,15.730337078651685,96.62921348314607
147,Left Defensive Midfield,6671,Asier Illarramendi Andonegi,Real Sociedad,210,2972,99.43820224719101,66.01123595505618,70.78651685393258,64.04494382022472,37.359550561797754,85.95505617977528,76.68539325842697,27.247191011235955,45.78651685393258,39.60674157303371,34.26966292134831
168,Right Defensive Midfield,6712,Gonzalo Escalante,Eibar,322,2976,90.4494382022472,69.10112359550563,84.5505617977528,32.02247191011236,6.460674157303371,44.9438202247191,92.97752808988764,100.0,83.14606741573034,39.60674157303371,70.78651685393258
179,Left Defensive Midfield,6733,Pedro Mosquera Parada,RC Deportivo La Coruña,219,3438,67.69662921348315,32.02247191011236,80.33707865168539,41.29213483146067,56.74157303370787,66.29213483146067,92.97752808988764,77.80898876404494,19.382022471910112,56.17977528089888,78.93258426966293
182,Right Defensive Midfield,6736,Álvaro Medrán Just,Getafe,216,1493,58.70786516853933,64.04494382022472,39.325842696629216,35.674157303370784,52.80898876404494,21.34831460674157,44.662921348314605,71.34831460674157,87.92134831460675,62.92134831460674,97.19101123595506
188,Left Defensive Midfield,6745,Mehdi Lacen,Getafe,216,2882,72.19101123595506,82.02247191011236,60.1123595505618,19.662921348314608,49.43820224719101,34.26966292134831,67.13483146067416,64.32584269662921,19.382022471910112,15.730337078651685,70.2247191011236
190,Center Defensive Midfield,6751,Javier Fuego Martínez,Valencia,207,2138,73.31460674157303,41.853932584269664,89.8876404494382,22.47191011235955,75.28089887640449,48.31460674157304,65.4494382022472,93.82022471910112,19.382022471910112,15.730337078651685,22.752808988764045
