,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate,rating
21,Goalkeeper,26103,Idriss Carlos Kameni,Málaga,223,2607,26.6304347826087,91.30434782608695,86.95652173913044,75.0,92.93478260869566,58.69565217391305,69.56521739130434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.79787512926337
22,Goalkeeper,26753,Javier Varas Herrera,Las Palmas,208,2886,65.21739130434783,57.065217391304344,77.17391304347827,86.95652173913044,28.26086956521739,90.21739130434783,59.78260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00349310763706
23,Goalkeeper,27305,Germán Darío Lux,RC Deportivo La Coruña,219,2699,25.0,28.26086956521739,36.95652173913043,73.36956521739131,71.73913043478261,53.80434782608695,18.478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.85450920829241
24,Goalkeeper,3096,Rob Elliot,Newcastle United,37,1976,28.804347826086957,11.956521739130435,10.326086956521738,27.173913043478258,28.26086956521739,31.521739130434785,27.173913043478258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.89474501287739
25,Goalkeeper,3099,Hugo Lloris,Tottenham Hotspur,38,3470,14.130434782608695,72.82608695652173,74.45652173913044,42.934782608695656,28.26086956521739,42.391304347826086,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.92529312912398
26,Goalkeeper,3262,Łukasz Fabiański,Swansea City,26,3481,69.56521739130434,67.3913043478261,45.108695652173914,25.0,28.26086956521739,82.6086956521739,63.04347826086957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28869234863775
27,Goalkeeper,3291,Joe Hart,Manchester City,36,3277,7.608695652173914,36.95652173913043,77.17391304347827,14.673913043478262,28.26086956521739,66.84782608695652,47.82608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.07319481162253
28,Goalkeeper,3333,David de Gea Quintana,Manchester United,39,3190,16.304347826086957,68.47826086956522,72.28260869565217,3.260869565217391,28.26086956521739,20.652173913043477,57.608695652173914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.834118986301995
29,Goalkeeper,3339,Asmir Begović,Chelsea,33,1415,96.73913043478261,54.347826086956516,18.478260869565215,21.73913043478261,28.26086956521739,2.1739130434782608,26.08695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9479032957864
30,Goalkeeper,3461,Petr Čech,Arsenal,1,3187,48.369565217391305,94.56521739130434,83.15217391304348,46.19565217391305,28.26086956521739,47.82608695652174,65.21739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6880971061127
31,Goalkeeper,3488,Wayne Hennessey,Crystal Palace,31,2726,35.32608695652174,44.565217391304344,57.065217391304344,5.434782608695652,28.26086956521739,13.043478260869565,14.130434782608695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.07655827269962
32,Goalkeeper,3509,Thibaut Courtois,Chelsea,33,2174,40.21739130434783,52.17391304347826,53.2608695652174,19.565217391304348,92.93478260869566,33.69565217391305,42.391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.93312957400359
33,Goalkeeper,3522,Heurelho da Silva Gomes,Watford,23,3577,72.28260869565217,71.73913043478261,57.065217391304344,36.41304347826087,87.5,98.91304347826086,20.652173913043477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.592215925557156
34,Goalkeeper,3537,Jack Butland,Stoke City,30,2910,66.30434782608695,69.56521739130434,60.32608695652174,14.673913043478262,28.26086956521739,25.0,23.91304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06687042599641
35,Goalkeeper,3539,Simon Mignolet,Liverpool,24,3201,5.434782608695652,14.130434782608695,28.26086956521739,21.73913043478261,81.52173913043478,36.95652173913043,68.47826086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.88850593466063
36,Goalkeeper,3623,Adrián San Miguel del Castillo,West Ham United,40,3016,61.41304347826087,73.91304347826086,80.43478260869566,51.63043478260869,78.26086956521739,44.565217391304344,33.69565217391305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.54165414337882
37,Goalkeeper,3815,Kasper Schmeichel,Leicester City,22,3581,22.82608695652174,75.0,85.32608695652173,17.934782608695652,28.26086956521739,56.52173913043478,1.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.615279951468665
