,main_position,player_id,player_name,team,team_id,minutes_played,goal_assists_per90,key_passes_per90,progressive_passes_per90,duels_won_per90,duel_success_rate,pass_completion_rate,shots_total_per90,xg_total_per90,dribbles_completed_per90,goals_scored_per90,dribble_success_rate,progressive_carries_per90
12,Center Attacking Midfield,3497,Vicente Iborra De La Fuente,Sevilla,213,1949,40.32258064516129,4.838709677419355,25.806451612903224,40.32258064516129,43.54838709677419,17.741935483870968,32.25806451612903,93.54838709677419,3.225806451612903,83.87096774193549,37.096774193548384,6.451612903225806
27,Center Attacking Midfield,4711,Pablo Hernández Domínguez,Rayo Vallecano,360,2232,54.03225806451613,27.419354838709676,79.03225806451613,44.354838709677416,14.516129032258066,48.38709677419355,29.03225806451613,17.741935483870968,32.25806451612903,31.451612903225808,9.67741935483871,41.935483870967744
52,Center Attacking Midfield,5504,Éver Maximiliano David Banega,Sevilla,213,1864,40.32258064516129,88.70967741935483,100.0,87.09677419354838,32.25806451612903,54.83870967741935,59.67741935483871,42.74193548387097,100.0,66.12903225806451,90.32258064516128,95.16129032258065
68,Center Attacking Midfield,5719,Marco Asensio Willemsen,Espanyol,214,3073,81.45161290322581,79.03225806451613,40.32258064516129,53.2258064516129,20.967741935483872,30.64516129032258,50.0,55.64516129032258,73.38709677419355,28.225806451612907,35.483870967741936,82.25806451612904
92,Center Attacking Midfield,6391,Raúl García Escudero,Athletic Club,215,2509,70.16129032258065,6.451612903225806,72.58064516129032,96.7741935483871,80.64516129032258,3.225806451612903,91.93548387096774,58.87096774193549,22.58064516129032,70.16129032258065,13.709677419354838,20.967741935483872
101,Center Attacking Midfield,6557,Adrián González Morales,Eibar,322,2413,6.451612903225806,8.064516129032258,62.096774193548384,33.87096774193548,35.483870967741936,24.193548387096776,53.2258064516129,55.64516129032258,6.451612903225806,52.41935483870967,6.451612903225806,8.064516129032258
149,Center Attacking Midfield,6673,Sergio Canales Madrazo,Real Sociedad,210,1020,6.451612903225806,19.35483870967742,51.61290322580645,66.12903225806451,71.7741935483871,53.2258064516129,66.93548387096774,12.903225806451612,1.6129032258064515,4.838709677419355,1.6129032258064515,45.16129032258064
154,Center Attacking Midfield,6680,Rubén Rochina Naixes,Granada,1049,2705,60.483870967741936,59.67741935483871,98.38709677419355,77.41935483870968,33.87096774193548,11.29032258064516,87.09677419354838,27.419354838709676,90.32258064516128,56.451612903225815,82.25806451612904,53.2258064516129
160,Center Attacking Midfield,6697,Daniel Ceballos Fernández,Real Betis,218,2054,32.25806451612903,21.774193548387096,93.54838709677419,91.93548387096774,48.38709677419355,72.58064516129032,3.225806451612903,1.6129032258064515,96.7741935483871,4.838709677419355,38.70967741935484,98.38709677419355
235,Center Attacking Midfield,6852,Jozabed Sánchez Ruiz,Rayo Vallecano,360,2227,32.25806451612903,35.483870967741936,56.451612903225815,49.193548387096776,83.06451612903226,82.25806451612904,55.64516129032258,68.54838709677419,29.03225806451613,93.54838709677419,61.29032258064516,22.58064516129032
256,Center Attacking Midfield,6926,Alen Halilović,Sporting Gijón,1041,2235,64.51612903225806,21.774193548387096,59.67741935483871,10.483870967741936,3.225806451612903,51.61290322580645,77.41935483870968,50.0,98.38709677419355,31.451612903225808,32.25806451612903,96.7741935483871
258,Center Attacking Midfield,6928,Pedro Taunausú Domínguez Placeres,Las Palmas,208,2420,50.0,33.064516129032256,30.64516129032258,74.19354838709677,100.0,87.09677419354838,11.29032258064516,22.58064516129032,45.16129032258064,52.41935483870967,30.64516129032258,66.12903225806451
274,Center Attacking Midfield,7782,Luis Alberto Romero Alconchel,RC Deportivo La Coruña,219,2328,75.80645161290323,27.419354838709676,38.70967741935484,64.51612903225806,85.48387096774194,9.67741935483871,98.38709677419355,83.06451612903226,54.83870967741935,62.903225806451616,24.193548387096776,51.61290322580645
326,Center Attacking Midfield,15893,Víctor Rodríguez Romero,Getafe,216,2418,13.709677419354838,14.516129032258066,14.516129032258066,51.61290322580645,79.03225806451613,90.32258064516128,46.774193548387096,33.064516129032256,45.16129032258064,16.129032258064516,20.967741935483872,67.74193548387096
