player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
8847,Santiago Juan Gentiletti Selak,Lazio,236,['Left Center Back'],19
8848,Paolo Cannavaro,Sassuolo,232,"['Right Center Back', 'Left Center Back', 'Center Back', 'Left Back']",31
8849,Domenico Maietta,Bologna,240,"['Left Center Back', 'Center Back']",19
8851,Saphir Sliti Taïder,Bologna,240,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Wing', 'Left Center Back']",29
8852,Thomas Heurtaux,Udinese,230,"['Right Center Back', 'Center Back', 'Right Back']",15
8871,Marco Borriello,Atalanta,228,"['Center Forward', 'Right Wing', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield']",27
8873,Marios Oikonomou,Bologna,240,"['Right Center Back', 'Center Back', 'Right Back', 'Left Center Back']",20
8874,Luca Antonelli,AC Milan,243,['Left Back'],28
8875,Ricardo Gabriel Álvarez,Sampdoria,234,"['Right Midfield', 'Right Wing', 'Right Center Midfield', 'Right Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield']",13
8876,Faouzi Ghoulam,Napoli,227,['Left Back'],34
8877,Boštjan Cesar,Chievo,231,['Left Center Back'],31
9884,Niklas Moisander,Sampdoria,234,"['Center Back', 'Left Center Back', 'Right Center Back', 'Left Wing Back']",22
9887,Rafael de Andrade Bittencourt Pinheiro,Hellas Verona,226,['Goalkeeper'],12
9898,Aleksandar Tonev,Frosinone,291,"['Left Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Wing Back', 'Left Wing', 'Right Wing', 'Right Center Midfield', 'Left Center Forward', 'Center Forward', 'Right Wing Back', 'Left Back']",22
9903,Yussif Raman Chibsah,Frosinone,291,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield']",22
9939,Maurício dos Santos Nascimento,Lazio,236,"['Right Center Back', 'Left Center Back', 'Right Back']",24
9940,Armando Izzo,Genoa,233,"['Left Center Back', 'Right Center Back', 'Center Back', 'Left Back', 'Right Wing Back', 'Right Back', 'Right Defensive Midfield']",33
10030,Davide Biondini,Sassuolo,232,"['Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing']",22
10031,Marcello Gazzola,Sassuolo,232,"['Right Back', 'Left Back', 'Left Wing']",9
10032,Achraf Lazaar,Palermo,2256,"['Left Wing Back', 'Left Back', 'Left Midfield']",30
10033,Luca Antei,Sassuolo,232,['Right Center Back'],5
10530,Jules Olivier Ntcham,Genoa,233,"['Center Attacking Midfield', 'Right Center Forward', 'Left Center Midfield', 'Left Wing', 'Right Wing', 'Left Defensive Midfield', 'Right Midfield', 'Left Center Forward', 'Left Center Back', 'Right Defensive Midfield', 'Right Wing Back', 'Center Defensive Midfield', 'Center Forward', 'Right Center Midfield']",17
10736,Vlad Iulian Chiricheș,Napoli,227,"['Left Center Back', 'Right Center Back']",8
10881,Diogo José Rosário Gomes Figueiras,Genoa,233,"['Right Wing Back', 'Right Back', 'Right Center Midfield']",9
10919,Juraj Kucka,AC Milan,243,"['Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Center Attacking Midfield']",30
11128,Umar Sadiq Mesbah,AS Roma,229,"['Left Wing', 'Right Wing', 'Right Center Forward', 'Center Forward', 'Right Midfield']",6
11183,Alex Nicolao Telles,Inter Milan,238,"['Left Back', 'Left Wing Back']",21
