player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3440,Tammy Bakumo-Abraham,Chelsea,33,['Center Forward'],2
3442,El-Hadji Baye Oumar Niasse,Everton,29,"['Left Center Forward', 'Left Midfield', 'Center Forward', 'Left Center Midfield', 'Right Center Forward']",5
3443,Joel Ward,Crystal Palace,31,"['Right Back', 'Left Back']",30
3445,Radamel Falcao García Zárate,Chelsea,33,"['Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Back']",10
3448,Martin Kelly,Crystal Palace,31,"['Right Back', 'Left Back']",13
3449,Wayne Routledge,Swansea City,26,"['Left Wing', 'Right Wing', 'Right Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Back', 'Left Midfield']",28
3450,Jordan Ayew,Aston Villa,59,"['Right Wing', 'Left Wing', 'Right Center Forward', 'Left Defensive Midfield', 'Center Forward', 'Left Center Forward', 'Left Midfield', 'Left Attacking Midfield', 'Center Attacking Midfield']",30
3454,Troy Deeney,Watford,23,"['Center Forward', 'Right Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Wing']",38
3456,Kurt Happy Zouma,Chelsea,33,"['Right Center Midfield', 'Left Center Back', 'Right Center Back', 'Right Back', 'Center Back']",23
3461,Petr Čech,Arsenal,1,['Goalkeeper'],34
3462,Jack Frank Porteous Cork,Swansea City,26,"['Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Forward']",35
3463,Junior Stanislas,AFC Bournemouth,28,"['Left Midfield', 'Left Center Forward', 'Right Midfield', 'Right Center Midfield', 'Left Center Midfield']",21
3464,James McArthur,Crystal Palace,31,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield']",28
3465,Timothy Evans Fosu-Mensah,Manchester United,39,"['Left Back', 'Right Center Back', 'Right Back', 'Right Midfield', 'Left Center Midfield']",8
3467,Erik Pieters,Stoke City,30,['Left Back'],35
3468,Jordan Pickford,Sunderland,41,['Goalkeeper'],2
3469,Bakary Sako,Crystal Palace,31,"['Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Left Defensive Midfield', 'Left Midfield', 'Right Midfield']",19
3471,Dejan Lovren,Liverpool,24,"['Left Center Back', 'Center Attacking Midfield', 'Right Center Back', 'Center Back']",24
3472,Willian Borges da Silva,Chelsea,33,"['Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Wing']",35
